"vid","hs","ag","ex","co","em","op"
"SELTCAWRS_t108_v2",5.2,4.8,5.6,6.2,4.2,5.8
"SELTCAWRS_t108_v3",4,1.6,1.2,3.8,3.2,3.6
"SELTCAWRS_t108_v4",5.6,6,5.8,5.6,4.8,5.6
"SELTCAWRS_t108_v5",4.8,4.8,5.2,5.8,4,5.4
"SELTCAWRS_t108_v6",5,2.6,2.6,2.2,2.6,3
"SELTCAWRS_t108_v7",5.6,6,5.8,6,4.6,6.2
"SELTCAWRS_t108_v8",5.2,1.6,1.2,2.4,3.6,3
"SELTCAWRS_t109_v1",4.8,3.4,1.6,1.8,4.2,3.6
"SELTCAWRS_t109_v2",4.8,3.6,6.8,6,3.8,6
"SELTCAWRS_t109_v3",6,2.4,1.2,1.4,1.2,1.6
"SELTCAWRS_t109_v4",5.6,5.8,5.2,5.8,5.2,5.4
"SELTCAWRS_t109_v5",5.4,4.8,6,6,5,4.8
"SELTCAWRS_t109_v6",5,2.6,1.8,1.4,3,2.4
"SELTCAWRS_t109_v7",6.4,6.4,5.8,6.4,5.8,6.4
"SELTCAWRS_t109_v8",6.4,1.8,1.2,1.6,1.4,2
"SELTCAWRS_t11_v1",4.8,2.4,3,2.4,3,2.8
"SELTCAWRS_t11_v2",5,3,5.8,5.4,4.4,4.6
"SELTCAWRS_t11_v3",5.6,2.4,1.6,2,1.6,2
"SELTCAWRS_t11_v4",6,6.2,6.2,6,6,6
"SELTCAWRS_t11_v5",3.8,3.8,4.2,4.2,5.4,3.6
"SELTCAWRS_t11_v6",3.4,2.4,4.2,3.6,2.6,4.4
"SELTCAWRS_t11_v7",5.2,5.4,4.4,5.8,5.2,5.6
"SELTCAWRS_t11_v8",5.4,2,1.4,1.8,1.4,2.2
"SELTCAWRS_t110_v1",6.2,1.2,2,1.4,1.4,1.6
"SELTCAWRS_t110_v2",6.2,6,6,6.8,6.6,5.6
"SELTCAWRS_t110_v3",6.2,1.4,2,1.4,1.2,2.4
"SELTCAWRS_t110_v4",6.2,6.4,5.4,6.6,6.6,5.4
"SELTCAWRS_t110_v5",6,5.8,5,6.2,6.4,5.6
"SELTCAWRS_t110_v6",6.4,1.2,2.4,1.2,1.2,1.2
"SELTCAWRS_t110_v7",6,5.8,4.8,5.8,6,5.6
"SELTCAWRS_t110_v8",6.4,1.2,1.6,1.2,1.2,2.4
"SELTCAWRS_t111_v1",4.2,3,1.6,2.4,3.8,2.8
"SELTCAWRS_t111_v2",6.2,4.8,6.4,6.4,5.2,6.6
"SELTCAWRS_t111_v3",6.2,1.4,1.2,1.4,1.2,1.8
"SELTCAWRS_t111_v4",6.2,6.2,5.8,6.2,5.2,6.2
"SELTCAWRS_t111_v5",5.8,5,6.2,6,5.4,6
"SELTCAWRS_t111_v6",5.8,2,2.4,1.2,3,1.4
"SELTCAWRS_t111_v7",6,5.4,6,6.4,5.4,6.2
"SELTCAWRS_t111_v8",6.25,1.25,1.25,1.75,1.25,1.75
"SELTCAWRS_t112_v1",5.4,1.4,1.8,1.6,2.2,1.6
"SELTCAWRS_t112_v2",5.8,4.6,6.2,6,4.8,5.8
"SELTCAWRS_t112_v4",5.4,6.2,6,6,5,5.4
"SELTCAWRS_t112_v7",5.6,5.8,6.6,6.2,5,5.8
"SELTCAWRS_t112_v8",6,2.2,1.2,1.6,1.4,1.6
"SELTCAWRS_t113_v1",1.4,5.4,2.4,5.4,5.2,5.2
"SELTCAWRS_t113_v2",2,1.4,4.8,2.2,4.6,2.6
"SELTCAWRS_t113_v3",1.6,4.6,1.4,5,3.2,5.6
"SELTCAWRS_t113_v4",1.8,1.4,3.4,1.8,3.4,2.2
"SELTCAWRS_t113_v7",3,4.4,4.2,3.8,4.4,3.8
"SELTCAWRS_t113_v8",2,3.6,1.2,4.4,3.2,4.2
"SELTCAWRS_t114_v1",4.75,1,3.75,1.5,1,2.75
"SELTCAWRS_t114_v2",5.6,5.2,5.8,6,5.4,5
"SELTCAWRS_t114_v3",4.6,1.8,1.6,2.4,2.2,2.6
"SELTCAWRS_t114_v4",4.6,5.6,4.6,4.8,5.2,5.6
"SELTCAWRS_t114_v5",5.6,4.6,5.6,5.8,5.4,5.8
"SELTCAWRS_t114_v6",5.4,2,3,1.4,2.2,2.6
"SELTCAWRS_t114_v7",5,5.6,4.6,4.8,6,5.2
"SELTCAWRS_t114_v8",4.8,1.8,1.2,2.4,1.8,3.4
"SELTCAWRS_t115_v1",4.6,2.6,2.6,1.4,2.6,2.6
"SELTCAWRS_t115_v2",6,5,6,6,5.4,5.8
"SELTCAWRS_t115_v3",6,1.6,1.2,1.6,1.6,1.6
"SELTCAWRS_t115_v4",5.6,5.8,5.8,6.2,5.8,5.8
"SELTCAWRS_t115_v5",5.8,5.2,5.6,5.8,5.4,5.6
"SELTCAWRS_t115_v6",5.8,1.4,2.4,1.4,2.2,2.2
"SELTCAWRS_t115_v7",5.6,5.6,5,6.2,6,5.6
"SELTCAWRS_t115_v8",5.8,1.2,1.4,1.8,1.2,2.2
"SELTCAWRS_t116_v1",6,1.4,1.2,1.6,2.2,2
"SELTCAWRS_t116_v2",6.8,5.6,6.4,6.6,5.8,6.6
"SELTCAWRS_t116_v3",6.6,1.2,1.2,1.2,1.2,1.6
"SELTCAWRS_t116_v4",6.6,6.6,6.2,6.6,6,6.4
"SELTCAWRS_t116_v5",6.8,6.6,6.6,6.8,6.6,6.8
"SELTCAWRS_t116_v6",6.8,1.2,1.4,1.2,1.8,1.2
"SELTCAWRS_t116_v7",6.8,6.8,6.6,6.8,6.2,6.8
"SELTCAWRS_t116_v8",5.8,1.2,1.2,1.4,1.2,1.4
"SELTCAWRS_t118_v1",2.8,3.6,2.4,3.4,3.2,4
"SELTCAWRS_t118_v2",4.8,4,5.8,5.2,5.4,5.4
"SELTCAWRS_t118_v3",4,3,2.2,2.6,1.6,3
"SELTCAWRS_t118_v4",4.6,5.4,4,5.2,5.8,4.6
"SELTCAWRS_t118_v5",5.2,4.6,4.8,5.6,5.4,5.2
"SELTCAWRS_t118_v6",5,2.6,2.4,1.8,2.4,2
"SELTCAWRS_t118_v7",5,5.4,5.4,5.8,5,5.4
"SELTCAWRS_t118_v8",3.8,4.2,2,2.4,1.2,3.4
"SELTCAWRS_t119_v1",5.2,1.6,3.2,1.6,2.2,1.6
"SELTCAWRS_t119_v2",6,5,6,6.2,5.4,5.2
"SELTCAWRS_t119_v3",6.4,1.8,1.2,1.4,1.4,1.8
"SELTCAWRS_t119_v4",6.6,6.8,6.2,6.4,6.4,6
"SELTCAWRS_t119_v5",6.6,6.2,6.4,6.6,6.6,6.4
"SELTCAWRS_t119_v6",6.2,2.2,1.6,1.4,2,1.4
"SELTCAWRS_t119_v7",6.4,6,6.8,6.6,6,6.6
"SELTCAWRS_t119_v8",6.6,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t12_v1",6.4,1,2,1.2,1.2,1.6
"SELTCAWRS_t12_v2",4.8,4.4,4.2,5.4,5,5.2
"SELTCAWRS_t12_v3",5.2,2,2,1.8,1.6,2.6
"SELTCAWRS_t12_v4",5.2,5.8,4,4.8,5.2,5
"SELTCAWRS_t12_v5",6,6,5,6.4,6.2,5.8
"SELTCAWRS_t12_v6",6.6,1,2.2,1,1,1.4
"SELTCAWRS_t12_v7",5.8,6.4,4.2,6.4,6.6,6
"SELTCAWRS_t12_v8",6,1.2,1,1.6,1.2,1.8
"SELTCAWRS_t120_v1",5.2,2,2.4,2,2.2,1.6
"SELTCAWRS_t120_v2",4.75,3.5,5.75,5.5,4.5,5.5
"SELTCAWRS_t120_v3",5.8,2,1.2,2,1.2,1.8
"SELTCAWRS_t120_v4",5.8,5.6,5.8,6,5.6,5.6
"SELTCAWRS_t120_v5",4.6,4.4,5,5.2,4.8,4.8
"SELTCAWRS_t120_v6",5.2,2.8,3,1.8,2.8,1.4
"SELTCAWRS_t120_v7",5.8,6,6,6.2,5.2,5.8
"SELTCAWRS_t120_v8",5.6,2.2,1.2,2,1.2,2.2
"SELTCAWRS_t121_v1",5.6,1.4,3.2,1.4,1.8,1.6
"SELTCAWRS_t121_v2",5,5,6,5.6,5,5.4
"SELTCAWRS_t121_v3",6,1.4,1.2,1.4,1.2,1.6
"SELTCAWRS_t121_v4",5,5.4,4.8,5.2,4.6,4
"SELTCAWRS_t121_v5",6,5.4,5.6,6,6,6
"SELTCAWRS_t121_v6",5.4,1.6,4,1.4,2,1.6
"SELTCAWRS_t121_v7",5.2,6,5.6,5.8,5.4,5.8
"SELTCAWRS_t121_v8",5.8,1.4,1.2,1.6,1.2,1.8
"SELTCAWRS_t122_v1",4,2.6,3.2,1.8,3,4
"SELTCAWRS_t122_v2",5,4.2,6.2,6,4.4,5
"SELTCAWRS_t122_v3",3.6,2.6,1.4,2,2.8,2.8
"SELTCAWRS_t122_v4",4.2,5,4.8,4.8,4,4.4
"SELTCAWRS_t122_v5",5.6,4.8,5.8,6,4.6,5.6
"SELTCAWRS_t122_v6",4.2,2.8,2,1.4,2.8,2.6
"SELTCAWRS_t122_v7",5.6,5.8,5.6,5.8,5.4,6
"SELTCAWRS_t122_v8",5.2,1.6,2.2,2,2.2,2
"SELTCAWRS_t123_v1",5.2,1.4,2.2,1.6,1.2,2.2
"SELTCAWRS_t123_v2",5.8,5.2,5.8,6.2,5.4,5.8
"SELTCAWRS_t123_v3",6,1.4,1.6,1.4,2.4,2.2
"SELTCAWRS_t123_v4",6.2,6.2,6,6.4,6,6.4
"SELTCAWRS_t123_v5",6.2,5.4,5.8,6.2,5.4,6.2
"SELTCAWRS_t123_v6",6.4,1.8,1.8,1.4,1.8,1.6
"SELTCAWRS_t123_v7",6.6,6.2,6.2,6.2,6.2,6.4
"SELTCAWRS_t123_v8",6.4,1.2,1.2,1.6,1.2,2
"SELTCAWRS_t124_v1",4.6,1.2,3.6,1.8,1.8,3.2
"SELTCAWRS_t124_v2",5.25,5.5,5,6,6,5.5
"SELTCAWRS_t124_v3",5.8,1.8,1.6,1.4,1.8,2
"SELTCAWRS_t124_v4",5.2,5.6,4,4.4,5,4
"SELTCAWRS_t124_v5",5,4.6,4.2,5.8,5,4.4
"SELTCAWRS_t124_v6",5.4,1.4,3.2,1.6,2,2.4
"SELTCAWRS_t124_v7",5.6,5.6,5.2,5.6,5.6,5.6
"SELTCAWRS_t124_v8",5.8,1.6,1.6,1.8,1.2,2
"SELTCAWRS_t125_v1",5.6,1.8,1.8,1.4,2.6,1.8
"SELTCAWRS_t125_v2",6,5.2,6,6.2,5.6,6.2
"SELTCAWRS_t125_v3",6.2,1.8,1.2,1.2,1.2,2
"SELTCAWRS_t125_v4",6,6,5.8,6,4.8,5.6
"SELTCAWRS_t125_v5",5.8,5,6,6,5.2,5.8
"SELTCAWRS_t125_v6",6,2.2,1.2,1.2,2,2.2
"SELTCAWRS_t125_v7",5.8,4.8,6.2,6,5.2,6
"SELTCAWRS_t125_v8",6,1.8,1.2,1.6,1.2,1.8
"SELTCAWRS_t126_v1",4.2,2.4,4,1.6,3.2,2.8
"SELTCAWRS_t126_v3",5.6,1.6,2.4,1.6,2.2,2
"SELTCAWRS_t126_v4",6.25,6.25,6,6.25,6,6.25
"SELTCAWRS_t126_v5",5.5,4.5,4.25,5.75,5,5.5
"SELTCAWRS_t126_v6",5.8,2,3.4,1.2,2,1.8
"SELTCAWRS_t126_v7",5.4,4.8,6.2,5.8,5.6,6
"SELTCAWRS_t126_v8",6,1.8,1.6,1.4,1.4,1.6
"SELTCAWRS_t128_v2",5.2,4.8,5.2,5.4,5.4,5.2
"SELTCAWRS_t128_v3",5.2,2.4,2,2,2,2.4
"SELTCAWRS_t128_v4",4.8,4.8,4.4,4.6,5,4.6
"SELTCAWRS_t128_v5",4.6,4.8,4.6,5.2,4.8,4.2
"SELTCAWRS_t128_v6",5.2,2,2.8,1.6,1.6,2.2
"SELTCAWRS_t128_v8",5.25,1.75,2,1.5,1.5,2.25
"SELTCAWRS_t129_v1",3.8,3.6,2.8,1.8,3.2,2.8
"SELTCAWRS_t129_v2",4,3.4,3.8,5,4,3.8
"SELTCAWRS_t129_v3",4.2,2.8,2.4,1.8,2.4,3.6
"SELTCAWRS_t129_v4",2.8,3.6,4.2,3.4,3.8,3.4
"SELTCAWRS_t129_v6",3,4,3,2.2,4.6,4.6
"SELTCAWRS_t129_v7",3.5,3.75,5,4,4.5,3.75
"SELTCAWRS_t129_v8",4.75,2.75,1.75,2.25,1.75,3.25
"SELTCAWRS_t13_v1",3.6,2.6,3.6,3.2,2.6,4.8
"SELTCAWRS_t13_v2",4.6,3.8,4.6,5,4.6,5
"SELTCAWRS_t13_v3",5,3,2,2,2.4,2.6
"SELTCAWRS_t13_v4",5.2,6,5,5.8,6,5.2
"SELTCAWRS_t13_v5",5.4,5,5.2,5.6,5.4,5.2
"SELTCAWRS_t13_v6",3.6,2.6,3.8,4,2.2,3.8
"SELTCAWRS_t13_v7",5.4,5.8,4.8,5.2,5,5.8
"SELTCAWRS_t13_v8",5.4,1.2,1.8,1.6,2.6,1.8
"SELTCAWRS_t130_v2",5.8,4.8,6,6.4,5,5.6
"SELTCAWRS_t130_v3",5.2,2.4,1.4,1.4,1.4,2.6
"SELTCAWRS_t130_v4",6,5.8,5.6,6,5.4,5.8
"SELTCAWRS_t130_v5",5.6,5,6.2,6.4,5.2,5
"SELTCAWRS_t130_v6",6.2,1.2,1.4,1.2,1.8,1.2
"SELTCAWRS_t130_v7",6,6,6.4,6.6,5.4,6.2
"SELTCAWRS_t130_v8",6,1.6,1.2,1.6,1.2,1.8
"SELTCAWRS_t131_v1",4.4,2.2,2.2,2,2.2,3
"SELTCAWRS_t131_v2",5,4.8,5.2,5.6,5.4,5.2
"SELTCAWRS_t131_v3",5.4,1.6,1.4,1.6,1.4,2.6
"SELTCAWRS_t131_v4",4.8,5.2,4.6,5.2,5.4,5.2
"SELTCAWRS_t131_v5",5.6,5,5.2,6,5.2,5.4
"SELTCAWRS_t131_v6",6,1.4,2.4,1.4,1.6,1.6
"SELTCAWRS_t131_v7",5.4,5.6,4.8,5.4,5.2,5.4
"SELTCAWRS_t131_v8",6,1.8,1.8,1.4,1.6,1.6
"SELTCAWRS_t132_v1",6,1.4,2.4,1.4,1.6,2
"SELTCAWRS_t132_v2",6,5.4,5.8,6.2,5.8,5.4
"SELTCAWRS_t132_v3",6.6,1.2,1.2,1.4,1.2,1.6
"SELTCAWRS_t132_v4",6,6.6,4,6.2,6.2,5.6
"SELTCAWRS_t132_v5",5.8,5.6,5.8,6.2,6.4,5.4
"SELTCAWRS_t132_v6",6.4,1.2,1.6,1.2,1.6,1.6
"SELTCAWRS_t132_v7",6.4,6.2,6.4,6.4,5.8,6.2
"SELTCAWRS_t132_v8",6,1.2,1.2,1.4,1.2,1.6
"SELTCAWRS_t133_v1",5.2,2.6,3,2,3,2.2
"SELTCAWRS_t133_v2",5.4,4.8,5.6,6.2,4.8,5.8
"SELTCAWRS_t133_v3",6,1.6,1.4,1.6,1.4,1.6
"SELTCAWRS_t133_v4",5.8,5.8,5.4,6,5.8,5.8
"SELTCAWRS_t133_v5",5.6,4.8,6,6.2,4.8,5.8
"SELTCAWRS_t133_v6",5.6,1.8,2,1.6,2.2,2
"SELTCAWRS_t133_v7",6.2,6.2,6.2,6.2,5.8,6.2
"SELTCAWRS_t133_v8",6.4,1.6,1.2,1.8,1.2,1.8
"SELTCAWRS_t134_v1",5,2.4,1.8,1.8,2.8,2.8
"SELTCAWRS_t134_v2",6.4,5.8,6,6.4,6.4,5.6
"SELTCAWRS_t134_v3",5.6,2,1.4,1.6,1.2,2.2
"SELTCAWRS_t134_v4",5.4,5.8,4.8,5.6,5.8,5.4
"SELTCAWRS_t134_v5",5,5.2,4.6,5.8,5.8,5
"SELTCAWRS_t134_v6",5.5,1.5,2.75,1.25,1.25,1.75
"SELTCAWRS_t134_v7",5.8,6,5,6,5.8,6
"SELTCAWRS_t134_v8",5.6,1.4,1.2,1.2,1.2,2
"SELTCAWRS_t135_v1",6,1.6,2.4,1.6,1.6,1.4
"SELTCAWRS_t135_v2",6,5,6.2,6.4,5.6,6.2
"SELTCAWRS_t135_v3",5.8,2,1.2,1.2,1.2,1.8
"SELTCAWRS_t135_v4",5.6,6,5.8,6.4,5.8,6.2
"SELTCAWRS_t135_v5",6,4.8,6,6,5.4,5.6
"SELTCAWRS_t135_v6",6,1.8,2.6,1.4,1.6,1.4
"SELTCAWRS_t135_v7",6.2,6.2,5.6,6.4,6,6.2
"SELTCAWRS_t135_v8",6,2,1.2,1.2,1.2,1.8
"SELTCAWRS_t136_v1",5.4,1.4,2.2,1.4,1.4,2
"SELTCAWRS_t136_v2",5.8,5.6,5.4,6,6,5.4
"SELTCAWRS_t136_v3",5.8,1.6,1.6,1.4,1.6,2.4
"SELTCAWRS_t136_v4",5.6,5.6,4.4,5.8,5.8,5.8
"SELTCAWRS_t136_v5",6,4.8,5.6,6.2,5.2,5.6
"SELTCAWRS_t136_v6",6,1.4,2.4,1.4,1.2,1.6
"SELTCAWRS_t136_v7",6,6,5.6,6,5.4,6
"SELTCAWRS_t136_v8",6.2,1.4,1.4,1.2,1.2,1.8
"SELTCAWRS_t137_v1",6,1.8,2,1.6,2,1.6
"SELTCAWRS_t137_v2",5.6,5,5.8,6.2,5.6,5.2
"SELTCAWRS_t137_v3",6,2,1.4,1.6,1.4,2
"SELTCAWRS_t137_v4",6,6.4,5.8,6.4,5.6,5.8
"SELTCAWRS_t137_v5",5.8,5.2,6,6.4,6,6
"SELTCAWRS_t137_v6",6.2,1.4,1.4,1.2,1.4,1.4
"SELTCAWRS_t137_v7",6.2,6.2,6,6.4,6,6.2
"SELTCAWRS_t137_v8",6.2,2,1.2,1.4,1.2,1.6
"SELTCAWRS_t14_v1",5,2.6,2.2,2.6,3.2,2
"SELTCAWRS_t14_v2",6,5.25,6,6,6,5.5
"SELTCAWRS_t14_v3",5,3,1.2,2,1.6,3
"SELTCAWRS_t14_v4",6,5.8,6,6.4,6,5.8
"SELTCAWRS_t14_v5",5.4,4.4,5.6,5.4,4.6,5.6
"SELTCAWRS_t14_v7",5.8,5.4,6.6,6.4,4.4,5.6
"SELTCAWRS_t14_v8",5.4,2.4,1.2,2,1.4,2.6
"SELTCAWRS_t140_v1",5.4,2,2.6,1.8,1.8,2.2
"SELTCAWRS_t140_v2",5.6,5,6,6.2,5.2,5.6
"SELTCAWRS_t140_v3",5.8,1.8,1.4,1.8,1.4,2.2
"SELTCAWRS_t140_v4",5.8,5.8,5.6,6,6,5.8
"SELTCAWRS_t140_v5",5.6,5,5.6,5.8,5.6,5.4
"SELTCAWRS_t140_v6",5.8,1.6,2.2,1.6,1.6,3
"SELTCAWRS_t140_v7",5.8,6,5.6,6,5.2,6
"SELTCAWRS_t140_v8",5.8,1.8,1.4,2,1.4,1.8
"SELTCAWRS_t142_v1",3.8,1.6,3.8,2.2,1.2,3.8
"SELTCAWRS_t142_v2",2.6,4.2,3.2,5.2,4.8,4.4
"SELTCAWRS_t142_v3",3.4,1.6,2.4,3,2.4,2.6
"SELTCAWRS_t142_v4",4,5.2,4.2,4.6,5.2,5.2
"SELTCAWRS_t142_v5",3,4.2,2.6,4.4,4.8,4.2
"SELTCAWRS_t142_v6",4,1.4,4.6,2.2,1.2,3.4
"SELTCAWRS_t142_v7",3.6,4.6,3.6,3.6,5.2,4.6
"SELTCAWRS_t142_v8",3.8,1.4,1.4,2.8,1.8,2.6
"SELTCAWRS_t143_v1",5.6,1.4,3.6,1.6,1.8,2.2
"SELTCAWRS_t143_v2",4.8,4.6,4.6,5.4,5.2,4.8
"SELTCAWRS_t143_v3",5,2.8,2.8,1.8,2,3
"SELTCAWRS_t143_v4",5.4,5.8,4.4,5.6,5.6,5.4
"SELTCAWRS_t143_v5",5.4,5.2,4.4,5.8,5.6,5.2
"SELTCAWRS_t143_v6",5,1,5.25,1,1,2.25
"SELTCAWRS_t143_v7",5.8,5.8,5.4,6.2,6,6
"SELTCAWRS_t143_v8",5.4,1.6,2.4,1.4,1.4,2.2
"SELTCAWRS_t144_v1",5,2.2,2,1.6,1.4,2.4
"SELTCAWRS_t144_v2",5.6,4.2,5.6,6,4.6,5.2
"SELTCAWRS_t144_v3",5.4,2.6,2,2.2,1.8,3
"SELTCAWRS_t144_v4",4.2,4.6,5,4.4,3.6,4.2
"SELTCAWRS_t144_v5",4.4,3.4,4.8,5.6,4,4.4
"SELTCAWRS_t144_v6",4.6,2.8,3.6,1.6,2.6,2.8
"SELTCAWRS_t144_v7",5.4,6,5.4,5.8,5.8,5.4
"SELTCAWRS_t144_v8",5.6,1.8,1.4,1.6,2.4,2.2
"SELTCAWRS_t145_v1",5.8,1.4,1.8,1.4,1.6,1.6
"SELTCAWRS_t145_v2",5.8,5.2,5.6,5.6,5.4,5.8
"SELTCAWRS_t145_v3",6.4,1.8,1.2,1.2,1.2,1.8
"SELTCAWRS_t145_v4",6,6,5.6,6.2,6,6
"SELTCAWRS_t145_v5",6,5.2,6,6,5.8,5.8
"SELTCAWRS_t145_v6",6.2,1.4,2.8,1.2,1.4,1.6
"SELTCAWRS_t145_v7",6.2,6.2,5.8,6.4,6.4,6
"SELTCAWRS_t145_v8",6,1.4,1.2,1.4,1.2,1.8
"SELTCAWRS_t146_v1",5.4,2.2,2.2,1.8,3.4,1.8
"SELTCAWRS_t146_v2",6,4.8,6,6.4,5.4,6.4
"SELTCAWRS_t146_v3",6.2,2,1.4,1.4,1.2,1.8
"SELTCAWRS_t146_v4",6.2,6.2,6,6.2,6,6.2
"SELTCAWRS_t146_v5",6,4.2,5,5.4,4.6,5.2
"SELTCAWRS_t146_v6",4.6,3.2,2.8,2,3,1.6
"SELTCAWRS_t146_v7",5.8,5.2,6.2,6.2,5.6,5.8
"SELTCAWRS_t146_v8",5.8,1.8,1.2,1.8,1.2,2.2
"SELTCAWRS_t147_v1",5.6,2,2.2,1.6,1.8,2
"SELTCAWRS_t147_v2",5.4,5.2,5.2,5.6,6,5.4
"SELTCAWRS_t147_v3",6,1.6,1.6,2.2,1.6,2
"SELTCAWRS_t147_v4",5.6,6,5,5.8,5.8,5.4
"SELTCAWRS_t147_v5",5.4,4.6,4.8,5.8,5.2,5.4
"SELTCAWRS_t147_v6",4.2,2.2,2.8,2.2,3,2.2
"SELTCAWRS_t147_v8",5.2,2.6,1.6,2,1.4,3.4
"SELTCAWRS_t150_v1",5.5,1.5,3.5,1.75,3,2
"SELTCAWRS_t150_v2",6.2,5.4,6.2,6.4,5.6,5.8
"SELTCAWRS_t150_v3",6,1.8,1.4,1.8,1.4,2.2
"SELTCAWRS_t150_v4",6,6,5.6,5.8,5.6,5.6
"SELTCAWRS_t150_v5",5.6,4.8,6,5.8,5.2,5.2
"SELTCAWRS_t150_v6",5.6,2.2,2.2,1.4,2,1.4
"SELTCAWRS_t150_v7",6,6,6,6.2,5.6,5.8
"SELTCAWRS_t150_v8",6,1.4,1.2,1.6,1.2,1.6
